Comment,Designator,Footprint,LCSC
"22u","C1,C2,C3,C6,C8,C9,C15,C16,C17,C19,C21,C22,C24,C26","Capacitor_SMD:C_1210_3225Metric","C426653"
"10n","C11,C20,C25","Capacitor_SMD:C_0402_1005Metric","C15195"
"22u","C18,C23","Capacitor_SMD:C_1206_3216Metric","C12891"
"100n","C4,C7,C10,C13,C14","Capacitor_SMD:C_0402_1005Metric","C307331"
"2u2","C5,C12","Capacitor_SMD:C_0805_2012Metric","C50254"
"P6SMB20A","D1","Diode_SMD:D_SMB","C719321"
"LED","D2,D3","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","DO NOT POPULATE"
"600Ω@100MHz","FB1,FB2","Resistor_SMD:R_0805_2012Metric","C1017"
"V_IN","J1","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm","DO NOT POPULATE"
"G_IN","J2","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm","DO NOT POPULATE"
"+10V","J3","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm","DO NOT POPULATE"
"G_OUT","J4","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm","DO NOT POPULATE"
"-10V","J5","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm","DO NOT POPULATE"
"Conn_01x01","J6,J7,J8,J9","Connector_Wire:SolderWirePad_1x01_SMD_1x2mm","DO NOT POPULATE"
"47u","L1","Inductor_SMD:L_Coilcraft_XAL60xx_6.36x6.56mm","DO NOT POPULATE"
"NetTie_2","NT1,NT2,NT3","NetTie:NetTie-2_SMD_Pad0.5mm","DO NOT POPULATE"
"2M2","R1","Resistor_SMD:R_0402_1005Metric","C11490"
"100k 1%","R10,R12","Resistor_SMD:R_0603_1608Metric","C25803"
"1k","R11,R13","Resistor_SMD:R_0402_1005Metric","C11702"
"300k","R2","Resistor_SMD:R_0402_1005Metric","C334752"
"499k 1%","R3","Resistor_SMD:R_0402_1005Metric","C407728"
"47k 1%","R4","Resistor_SMD:R_0402_1005Metric","C25792"
"3M32","R5","Resistor_SMD:R_0402_1005Metric","C477691"
"430k","R6","Resistor_SMD:R_0402_1005Metric","C25786"
"6k81","R7","Resistor_SMD:R_0402_1005Metric","C284661"
"19k1 1%","R8","Resistor_SMD:R_0402_1005Metric","C52036"
"1k78 1%","R9","Resistor_SMD:R_0402_1005Metric","C284379"
"+10.5","TP1","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","DO NOT POPULATE"
"-10.5","TP2","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","DO NOT POPULATE"
"LM2940-SOT223-15","U1","Package_TO_SOT_SMD:SOT-223","C81094"
"MAXM15068AMB+","U2","marcin_library:10-eMGA (3x2.6)","DO NOT POPULATE"
"MAX17579ATC+","U3","marcin_library:21-0664_TD1233&plus_1C_MXM","C5691155"
"LT3045xMSE","U4","Package_SO:MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm","C666577"
"LT3094xMSE","U5","Package_SO:MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm","C498217"
