"Comment","Designator","Footprint","LCSC Part #"
"22u","C1,C2,C7,C8,C11,C13,C15,C16,C19,C20,C22,C24","C_1210_3225Metric","C426653"
"4u7","C3,C10","C_1206_3216Metric","C29823"
"10u","C4","C_0603_1608Metric","C96446"
"100n","C5","C_0402_1005Metric","C307331"
"150p","C6,C12","C_0402_1005Metric","C1527"
"10n","C9,C14,C21,C23","C_0402_1005Metric","C15195"
"22u","C17,C18","C_1206_3216Metric","C12891"
"P6SMB20A","D1","D_SMB","C719321"
"D_Schottky","D2,D3","D_PowerDI-123","C155287"
"10u","L1,L2,L3,L4","L_Vishay_IHLP-1616","C878322"
"20k","R1,R3","R_0402_1005Metric","C25765"
"2k","R2,R4","R_0402_1005Metric","C4109"
"22k","R6","R_0402_1005Metric","C25768"
"100k 1%","R7,R8","R_0603_1608Metric","C25803"
"1k","R9,R10","R_0603_1608Metric","C21190"
"LM2940-SOT223-15","U1","SOT-223","C81094"
"LT3471","U2","DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm","C514422"
"LT3045xMSE","U3","MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm","C666577"
"LT3094xMSE","U4","MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm","C498217"
