Ref,Val,Package,PosX,PosY,Rot,Side
"D4","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-93.277800,-70.916800,180.000000,bottom
"D5","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-93.412200,-73.355200,0.000000,bottom
"C1","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",117.094000,-59.944000,90.000000,top
"C2","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",114.321500,-69.850000,0.000000,top
"C3","10u","C_0603_1608Metric",102.222000,-78.626000,0.000000,top
"C4","100n","C_0603_1608Metric",106.820000,-67.945000,0.000000,top
"C5","2200p","C_0603_1608Metric",107.061000,-69.469000,180.000000,top
"C6","10u","C_0603_1608Metric",107.836000,-73.964800,0.000000,top
"C7","10n","C_0603_1608Metric",107.836000,-72.466200,0.000000,top
"C8","10u","C_0603_1608Metric",101.727000,-66.180000,90.000000,top
"C9","10u","C_0603_1608Metric",103.251000,-66.167000,90.000000,top
"C10","470p","C_0603_1608Metric",105.537000,-65.672000,-90.000000,top
"C11","10u","C_0603_1608Metric",96.139000,-60.706000,180.000000,top
"C12","10n","C_0603_1608Metric",96.139000,-62.230000,180.000000,top
"C13","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",81.737200,-78.536800,180.000000,top
"C14","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",81.280000,-63.648500,90.000000,top
"C15","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",87.016500,-55.366500,0.000000,top
"C16","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",85.655500,-68.707000,0.000000,top
"C17","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",80.263000,-68.347500,90.000000,top
"C18","10n","C_0603_1608Metric",82.042000,-67.958000,90.000000,top
"C19","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",81.280000,-58.705000,-90.000000,top
"C20","22u","C_1206_3216Metric",89.281000,-62.054000,90.000000,top
"C21","10n","C_0603_1608Metric",80.772000,-56.001500,180.000000,top
"C22","22u","C_1206_3216Metric",94.185000,-77.978000,0.000000,top
"D1","SM6T15A","D_SMB",114.817000,-66.548000,180.000000,top
"D2","D_Schottky","D_PowerDI-123",103.505000,-72.644000,180.000000,top
"D3","D_Schottky","D_PowerDI-123",106.566750,-62.230000,180.000000,top
"J3","RFShield_OnePiece","Laird_Technologies_BMI-S-102_16.50x16.50mm",102.014000,-67.332000,0.000000,top
"L1","10u","L_Vishay_IHLP-1616",97.790000,-71.882000,0.000000,top
"L2","10u","L_Vishay_IHLP-1616",97.790000,-66.929000,0.000000,top
"L3","10u","L_Vishay_IHLP-1616",100.850750,-62.255400,180.000000,top
"R1","20k","R_0603_1608Metric",100.520000,-77.089000,0.000000,top
"R2","18k","R_0603_1608Metric",107.569000,-70.993000,0.000000,top
"R3","2k","R_0603_1608Metric",108.585000,-65.722000,90.000000,top
"R4","20k","R_0603_1608Metric",107.061000,-65.722000,90.000000,top
"R5","100k 1%","R_0603_1608Metric",86.995000,-57.144500,0.000000,top
"R6","100k 1%","R_0603_1608Metric",85.760000,-70.429000,0.000000,top
"R7","1k","R_0603_1608Metric",92.202000,-68.389000,-90.000000,top
"R8","1k","R_0603_1608Metric",92.329000,-74.676000,90.000000,top
"U1","LM2940-SOT223-15","SOT-223",114.921000,-75.289500,-90.000000,top
"U2","LT3471","DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm",103.124000,-69.469000,180.000000,top
"U3","LT3045xMSE","MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm",83.841000,-74.366000,90.000000,top
"U4","LT3094xMSE","MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm",85.026500,-61.081500,90.000000,top
